phase,n_num_argmax,argmax_numeric,n_num_soft,sm_top1_digit,mean_digit_margin,frac_margin_pos,mean_log_p_digit
base,29,0.0,29,0.034482758620689655,-0.004330322594012594,0.0,-7.889588334205681
l1,29,0.0,29,0.034482758620689655,-0.00019130660378686144,0.0,-10.795494139872913
l2,29,0.0,29,0.13793103448275862,-3.290688513318244e-05,0.0,-12.450311266576751
l1_l2,29,0.0,29,0.034482758620689655,-0.0001735250782180057,0.0,-11.529725447658565
l3,29,1.0,29,1.0,0.9999977763142506,1.0,-1.3729650635775988e-06
