phase,n_argmax,argmax_overall,argmax_binary,argmax_numeric,sm_bin_acc,sm_num_top1,sm_num_margin_pos,mean_log_p_TF
base,284,0.17253521126760563,0.19215686274509805,0.0,0.7450980392156863,0.034482758620689655,0.0,-4.290866487241019
l1,284,0.5774647887323944,0.6431372549019608,0.0,0.6392156862745098,0.034482758620689655,0.0,-1.1875500571121969
l2,284,0.6725352112676056,0.7490196078431373,0.0,0.7098039215686275,0.13793103448275862,0.0,-0.6025969750140792
l1_l2,284,0.43661971830985913,0.48627450980392156,0.0,0.6352941176470588,0.034482758620689655,0.0,-1.035788352306181
l3,284,0.10211267605633803,0.0,1.0,0.6196078431372549,1.0,1.0,-14.404244475432122
