prompt_id,family,tail,label,d_n_active_features,base_n_active_features,lora_n_active_features,d_edge_density,base_edge_density,lora_edge_density,d_mean_top50_score,base_mean_top50_score,lora_mean_top50_score,d_top10_over_top50,base_top10_over_top50,lora_top10_over_top50,d_layer_entropy,base_layer_entropy,lora_layer_entropy,d_mean_error_node_weight,base_mean_error_node_weight,lora_mean_error_node_weight,d_logit_gap,base_logit_gap,lora_logit_gap,d_layer_stats_mean,base_layer_stats_mean,lora_layer_stats_mean,d_layer_stats_std,base_layer_stats_std,lora_layer_stats_std,d_layer_stats_median,base_layer_stats_median,lora_layer_stats_median,d_layer_stats_entropy_bits,base_layer_stats_entropy_bits,lora_layer_stats_entropy_bits,d_topk20_score_total,base_topk20_score_total,lora_topk20_score_total,d_topk20_score_gini,base_topk20_score_gini,lora_topk20_score_gini,d_density_at_0.50,base_density_at_0.50,lora_density_at_0.50,d_density_at_0.60,base_density_at_0.60,lora_density_at_0.60,d_density_at_0.70,base_density_at_0.70,lora_density_at_0.70,d_density_at_0.80,base_density_at_0.80,lora_density_at_0.80,d_density_at_0.90,base_density_at_0.90,lora_density_at_0.90,d_density_at_0.95,base_density_at_0.95,lora_density_at_0.95,d_density_at_0.99,base_density_at_0.99,lora_density_at_0.99,d_n_kept_at_0.50,base_n_kept_at_0.50,lora_n_kept_at_0.50,d_n_kept_at_0.60,base_n_kept_at_0.60,lora_n_kept_at_0.60,d_n_kept_at_0.70,base_n_kept_at_0.70,lora_n_kept_at_0.70,d_n_kept_at_0.80,base_n_kept_at_0.80,lora_n_kept_at_0.80,d_n_kept_at_0.90,base_n_kept_at_0.90,lora_n_kept_at_0.90,d_n_kept_at_0.95,base_n_kept_at_0.95,lora_n_kept_at_0.95,d_n_kept_at_0.99,base_n_kept_at_0.99,lora_n_kept_at_0.99
tri_v2_001,numeric_validity,answer_colon,false,544.0,20597.0,21141.0,0.0023708659077516514,0.11908809288472048,0.12145895879247214,0.00515326171182096,0.0005719873262569308,0.005725249038077891,0.14833624522119343,0.40401049127190164,0.5523467364930951,0.2758338958684705,1.8510428774357846,2.126876773304255,0.019631624221801758,0.28259941935539246,0.3022310435771942,-4.751480471538388,-1.4986786106289993,-6.250159082167387,-0.3007258383375149,8.84677380201,8.546047963672486,-0.1588554461134457,7.1541893674017025,6.995333921288257,0.0,7.0,7.0,-0.031029633296849823,4.240342110145831,4.209312476848981,0.1876562843681313,0.017201201466377825,0.20485748583450913,0.15471897382018074,0.24887623002427656,0.4035952038444573,0.01984383322555286,0.14243409034094187,0.16227792356649473,-0.0005438193119223222,0.1526352159575844,0.15209139664566207,0.002681347731528838,0.15775660137390737,0.1604379491054362,0.003573734964071318,0.15271903167502132,0.15629276663909264,0.0027255168303717547,0.14617271721591965,0.1488982340462914,0.0028550675713951423,0.14227750631310437,0.14513257388449952,0.0029962001108786163,0.1372080776037303,0.14020427771460892,-65.0,323.0,258.0,-91.0,704.0,613.0,-122.0,1389.0,1267.0,-123.0,2606.0,2483.0,-74.0,4741.0,4667.0,-30.0,6387.0,6357.0,-18.0,8190.0,8172.0
tri_v2_002,numeric_validity,answer_colon,true,307.0,16966.0,17273.0,0.006382824743492527,0.12582134322427002,0.13220416796776255,0.006176866178284399,0.0008215910877333954,0.006998457266017794,-0.009538389662216984,0.5601530851449497,0.5506146954827327,0.20422861910008194,2.213723436373923,2.417952055474005,-0.0131797194480896,0.3609115183353424,0.3477317988872528,0.5030945777236846,1.3732222795260571,1.8763168572497417,-0.2811714881569909,9.282329364611575,9.001157876454585,-0.12689498223428242,7.346799254895368,7.219904272661085,0.0,7.0,7.0,-0.031059197518088055,4.29038816982668,4.259328972308592,0.22396161797223613,0.02978970791446045,0.2537513258866966,-0.013968040895295852,0.38815884256555977,0.3741908016702639,0.03477605526199701,0.13879798027023235,0.17357403553222936,0.01440317739504432,0.14590822241652904,0.16031139981157336,0.010676622705201033,0.15717274102263856,0.1678493637278396,0.007743052488419666,0.16161967074246167,0.16936272323088133,0.004302525051648437,0.16183072859821476,0.1661332536498632,0.005060565612175161,0.15438444806822968,0.15944501368040484,0.005626620515557762,0.1447447384043072,0.15037135891986497,-35.0,293.0,258.0,-55.0,658.0,603.0,-62.0,1281.0,1219.0,-43.0,2363.0,2320.0,18.0,4327.0,4345.0,54.0,5970.0,6024.0,27.0,7973.0,8000.0
tri_v2_003,numeric_validity,true_or_false,false,79.0,30372.0,30451.0,-0.017777351287990073,0.12138639125264075,0.10360903996465068,0.0017472013682890974,1.861943017502199e-05,0.0017658207984641195,0.11222993869346942,0.3832214100073088,0.4954513487007782,-0.1611657706704901,2.541063097922389,2.379897327251899,0.014801651239395142,0.2893730700016022,0.3041747212409973,-1.9974257290450688,1.625186268566785,-0.3722394604782837,-0.37531672275334493,8.680626893191098,8.305310170437753,-0.2258362831226428,7.084837262265934,6.859000979143291,-1.0,7.0,6.0,-0.041691566791737245,4.223114185407576,4.181422618615839,0.05717260834717308,0.0005500181396200787,0.05772262648679316,0.20584703554026154,0.2231861538330779,0.42903318937333945,-0.04573222278624306,0.1711845043360856,0.12545228154984253,-0.023722830757808233,0.16018023534863707,0.13645740459082883,-0.027767351746606772,0.15774987939354745,0.12998252764694068,-0.0197347616922339,0.15490296152255167,0.13516819983031778,-0.01648938560049637,0.1540145628225643,0.13752517722206792,-0.013920908634228929,0.15087644130804612,0.1369555326738172,-0.01211221542241192,0.14714224334251338,0.13503002792010146,-23.0,393.0,370.0,-23.0,852.0,829.0,-9.0,1637.0,1628.0,19.0,2944.0,2963.0,53.0,5119.0,5172.0,47.0,6726.0,6773.0,23.0,8399.0,8422.0
tri_v2_004,numeric_validity,true_or_false,true,47.0,25972.0,26019.0,-0.01664481945125841,0.1216385535352838,0.10499373408402539,0.0013986662705428898,2.374759176746011e-05,0.0014224138623103498,0.11551114572262366,0.377164283787373,0.49267542950999665,0.18477869763225296,2.383430206776791,2.568208904409044,0.009255856275558472,0.2893673777580261,0.2986232340335846,-2.117526874917351,1.7473077058729185,-0.3702191690444321,-0.40213508068748993,8.81175881718774,8.40962373650025,-0.26554448359632854,7.17923782546255,6.913693341866222,-1.0,7.0,6.0,-0.043208991541187736,4.248176932256455,4.204967940715267,0.04589609503818792,0.0006896829690958839,0.04658577800728381,0.1860544386321673,0.2376618924062061,0.4237163310383734,-0.03347051274084767,0.16894110275689223,0.13547059001604456,-0.01898567348330224,0.15361171554819847,0.13462604206489623,-0.018672305435595588,0.15085817012016273,0.13218586468456714,-0.01821465067525674,0.15521046974434502,0.13699581906908828,-0.015266480016566192,0.15626948712764444,0.14100300711107824,-0.012246369364854182,0.15317209310907512,0.14092572374422094,-0.0104899851283477,0.14871242040707353,0.13822243527872582,-36.0,400.0,364.0,-44.0,866.0,822.0,-38.0,1626.0,1588.0,-23.0,2889.0,2866.0,18.0,5014.0,5032.0,16.0,6618.0,6634.0,9.0,8299.0,8308.0
tri_v2_005,numeric_validity,true_or_false,false,56.0,26969.0,27025.0,-0.011246921585511438,0.12516803493811418,0.11392111335260274,0.000946886207730131,2.3287031744985142e-05,0.0009701732394751161,0.11080515648452155,0.3843980369754323,0.49520319345995384,-0.11220457956454322,2.527390064757144,2.415185485192601,0.008704215288162231,0.30093902349472046,0.3096432387828827,-2.121391326908623,1.749517163239359,-0.37187416366926396,-0.32035543876069283,8.867959509065965,8.547604070305272,-0.17821056841638772,7.184218317719494,7.006007749303106,0.0,7.0,7.0,-0.03489415456870404,4.24954475403376,4.214650599465056,0.03107235222887539,0.0006902486475155456,0.031762600876390934,0.2063900653391619,0.2218455446255607,0.4282356099647226,-0.035995441658813104,0.17207479277774207,0.13607935111892897,-0.02022725481949239,0.16117878441822103,0.14095152959872864,-0.014114134481664875,0.15778416501281364,0.14367003053114877,-0.0126084892117021,0.15933341371243037,0.14672492450072827,-0.012612409030648142,0.15945253309920165,0.1468401240685535,-0.009912543386045913,0.15528415680174482,0.1453716134156989,-0.0075689275057797545,0.15012703452873993,0.14255810702296018,-16.0,395.0,379.0,-12.0,852.0,840.0,-2.0,1607.0,1605.0,11.0,2866.0,2877.0,44.0,4977.0,5021.0,39.0,6585.0,6624.0,14.0,8293.0,8307.0
tri_v2_006,numeric_validity,answer_colon,true,482.0,19271.0,19753.0,0.01491527914008918,0.11076559130219578,0.12568087044228496,0.006408970825141296,0.0009961940825451165,0.007405164907686413,0.04386340464340821,0.5037865301649918,0.5476499348084,0.0823180660010654,2.2664063520560407,2.348724418057106,-0.0034580230712890625,0.2869289517402649,0.28347092866897583,1.1850755184784776,0.8768983301532292,2.0619738486317067,-0.28314456775571983,9.020652794354211,8.737508226598491,-0.16205333033289548,7.31994098312708,7.157887652794185,0.0,7.0,7.0,-0.0266344731900352,4.279114358188541,4.252479884998506,0.2413962953723967,0.03431750228628516,0.27571379765868187,-0.00044487104152468593,0.33797669149492293,0.33753182045339825,0.04233031764586365,0.13466887722206872,0.17699919486793236,0.011885413596624206,0.1383502936134515,0.1502357072100757,0.01765689173814064,0.14333021162488294,0.16098710336302358,0.0173564457858216,0.14410998735200767,0.16146643313782927,0.009494290223554025,0.14780846877764775,0.15730275900120178,0.007397595269736518,0.1459600224427455,0.15335761771248202,0.006588193211198079,0.14154046102018022,0.1481286542313783,-52.0,330.0,278.0,-68.0,741.0,673.0,-84.0,1442.0,1358.0,-115.0,2649.0,2534.0,-98.0,4736.0,4638.0,-70.0,6371.0,6301.0,-36.0,8168.0,8132.0
tri_v2_007,numeric_validity,true_or_false,false,-72.0,28547.0,28475.0,-0.015937263120835682,0.12225755979077303,0.10632029666993735,0.0016428622553394234,2.0176886228000512e-05,0.0016630391415674239,0.1162230084590331,0.37704442947283906,0.49326743793187217,-0.12874455396944073,2.641501683934689,2.5127571299652485,0.008885860443115234,0.2920229732990265,0.3009088337421417,-2.00030421988917,2.00030421988917,0.0,-0.399043900708941,8.68367954601184,8.284635645302899,-0.25341632617548093,7.107060097521232,6.853643771345751,-1.0,7.0,6.0,-0.048337527693111504,4.23509315195449,4.186755624261378,0.05392593305441551,0.0005852288159076124,0.05451116187032312,0.1832974838969173,0.2336532944540488,0.4169507783509661,-0.03454318968771372,0.17279379352904875,0.13825060384133503,-0.025488038177504918,0.160168652757433,0.13468061457992808,-0.020277805631590318,0.15734972526967675,0.13707191963808643,-0.018041049662722464,0.15613477937160253,0.13809372970888006,-0.01584238757872028,0.15684603092093255,0.14100364334221227,-0.012987722894826664,0.1536479792032882,0.14066025630846155,-0.011139393427687189,0.14999629439679749,0.1388569009691103,-5.0,399.0,394.0,4.0,871.0,875.0,26.0,1650.0,1676.0,57.0,2942.0,2999.0,92.0,5091.0,5183.0,80.0,6682.0,6762.0,29.0,8343.0,8372.0
tri_v2_008,numeric_validity,the_answer_is,false,290.0,17284.0,17574.0,-0.007515810395531369,0.12479653930151383,0.11728072890598246,0.004905151706261677,7.207619717519264e-05,0.0049772279034368695,0.09519554847029976,0.444992027727109,0.5401875761974088,0.1853587783669952,2.316129040076866,2.501487818443861,0.002235114574432373,0.3132266402244568,0.31546175479888916,-2.875338270262868,0.6249389304497441,-2.2503993398131237,-0.27698006435681854,8.981543624161075,8.704563559804257,-0.17974603670849287,7.25308317086321,7.073337134154717,0.0,7.0,7.0,-0.03383053151027848,4.275981714022927,4.242151182512648,0.17303795229963725,0.00236669529840583,0.17540464759804308,0.12283823153149731,0.27317340351985564,0.39601163505135295,-0.0029520528505724564,0.15222974145410376,0.1492776886035313,-0.013806865233532695,0.15450023772080607,0.14069337248727337,-0.012377262874375239,0.1578617654882801,0.14548450261390486,-0.007610687762850177,0.15941270167186206,0.15180201390901188,-0.0034511200355596683,0.15437570469575865,0.15092458466019898,-0.0022137147403263613,0.14880797018460615,0.1465942554442798,-0.00048121923375843423,0.1410611670153276,0.14057994778156915,-73.0,340.0,267.0,-96.0,740.0,644.0,-92.0,1404.0,1312.0,-71.0,2536.0,2465.0,-52.0,4553.0,4501.0,-28.0,6189.0,6161.0,-18.0,8080.0,8062.0
tri_v2_009,numeric_open,answer_colon,true,248.0,29056.0,29304.0,0.0027330040615227286,0.11719514766884286,0.11992815173036558,-1.3381904939135935e-06,1.3418089577044157e-06,3.6184637908220906e-09,-0.0030909328561666283,0.322264000797087,0.3191730679409204,-0.4422967057468923,2.6465551147180033,2.204258408971111,-0.016633927822113037,0.2676849961280823,0.25105106830596924,-6.076900354146493,-7.556668322337431,-13.633568676483923,-0.2159206475698756,8.509430066079295,8.29350941850942,-0.1842653157742813,7.081552300883846,6.897286985109565,-1.0,7.0,6.0,-0.016112269303246052,4.198113924783447,4.182001655480201,-3.549727583362916e-05,3.559313176992873e-05,9.585593629957145e-08,0.0038458027618767654,0.14827007877060422,0.15211588153248098,0.0042349120607826085,0.16810125115848007,0.17233616321926268,-0.0036267142892125737,0.1598794503172295,0.15625273602801693,-0.002885187124710087,0.15632181466625922,0.15343662754154913,0.003068580901204432,0.15005194825269486,0.1531205291538993,0.00443533406976096,0.14455125585859727,0.14898658992835823,0.005673303475165703,0.14027048553995608,0.14594378901512178,0.007904697379415015,0.13524218608045036,0.14314688345986537,38.0,416.0,454.0,81.0,899.0,980.0,141.0,1709.0,1850.0,199.0,3010.0,3209.0,210.0,5113.0,5323.0,154.0,6670.0,6824.0,42.0,8302.0,8344.0
tri_v2_010,numeric_open,answer_colon,true,123.0,28617.0,28740.0,-0.0027275358930923393,0.11347956003696513,0.1107520241438728,-4.583818055152733e-06,4.618436105374713e-06,3.4618050221979505e-08,0.03167135438002511,0.3199528785231075,0.3516242329031326,-0.3937177687974822,2.5745586185394265,2.1808408497419443,-0.01174977421760559,0.27448657155036926,0.26273679733276367,-5.0446611040039935,-6.328180953601232,-11.372842057605226,-0.22823209090060814,8.474717825069014,8.246485734168406,-0.17606950397656007,7.040351546268319,6.864282042291759,-1.0,7.0,6.0,-0.019160647849506773,4.198517377992679,4.179356730143172,-0.00012096632367075699,0.00012194548662591842,9.791629551614278e-07,0.010149425929600692,0.15969260585249767,0.16984203178209836,0.006681486182975566,0.15629480373542062,0.1629762899183962,-0.008166362725319065,0.15531422399874087,0.1471478612734218,-0.008779346456580045,0.1514454154097676,0.14266606895318756,-0.0026623772977040217,0.14602329987314092,0.1433609225754369,0.0032174560207973157,0.1398785346887546,0.14309599070955192,0.004698586474547767,0.13601020353515955,0.14070879000970732,0.008047342122965012,0.13058220432761042,0.13862954645057543,1.0,394.0,395.0,33.0,859.0,892.0,88.0,1644.0,1732.0,154.0,2918.0,3072.0,193.0,5011.0,5204.0,158.0,6588.0,6746.0,46.0,8273.0,8319.0
