phase,n_bin_argmax,argmax_bin,argmax_T,argmax_F,n_bin_soft,sm_acc,sm_T,sm_F,mean_log_p_TF,mean_tf_margin
base,255,0.19215686274509805,0.1796875,0.2047244094488189,255,0.7450980392156863,1.0,0.4881889763779528,-4.290866487241019,0.025874273729284906
l1,255,0.6431372549019608,,,255,0.6392156862745098,0.7421875,0.5354330708661418,-1.1875500571121969,0.2317526348928154
l2,255,0.7490196078431373,,,255,0.7098039215686275,0.5859375,0.8346456692913385,-0.6025969750140792,0.36085099593791015
l1_l2,255,0.48627450980392156,,,255,0.6352941176470588,0.484375,0.7874015748031497,-1.035788352306181,0.2887242377941113
l3,255,0.0,,,255,0.6196078431372549,0.859375,0.3779527559055118,-14.404244475432122,-0.0011876502303880521
