phase,prompt_id,family,tail,label,d_n_active_features,d_edge_density,d_mean_top50_score,d_top10_over_top50,d_layer_entropy,d_mean_error_node_weight,d_logit_gap,d_layer_stats_mean,d_layer_stats_std,d_layer_stats_median,d_layer_stats_entropy_bits,d_topk20_score_total,d_topk20_score_gini,d_density_at_0.50,d_density_at_0.60,d_density_at_0.70,d_density_at_0.80,d_density_at_0.90,d_density_at_0.95,d_density_at_0.99,d_n_edges_at_0.50,d_n_edges_at_0.60,d_n_edges_at_0.70,d_n_edges_at_0.80,d_n_edges_at_0.90,d_n_edges_at_0.95,d_n_edges_at_0.99,d_n_edges_total_at_0.50,d_n_edges_total_at_0.60,d_n_edges_total_at_0.70,d_n_edges_total_at_0.80,d_n_edges_total_at_0.90,d_n_edges_total_at_0.95,d_n_edges_total_at_0.99,d_n_kept_at_0.50,d_n_kept_at_0.60,d_n_kept_at_0.70,d_n_kept_at_0.80,d_n_kept_at_0.90,d_n_kept_at_0.95,d_n_kept_at_0.99,d_n_nodes_total_at_0.50,d_n_nodes_total_at_0.60,d_n_nodes_total_at_0.70,d_n_nodes_total_at_0.80,d_n_nodes_total_at_0.90,d_n_nodes_total_at_0.95,d_n_nodes_total_at_0.99
l1_l2,tri_v2_271,numeric_validity,true_or_false,true,-48.0,-0.014040795313610036,0.0008620843012613477,0.13251465244632543,-0.028305967958140332,0.006856769323348999,-2.253105034687795,-0.398086434398893,-0.23951028604790725,-1.0,-0.04433881096792458,0.028135527888480283,0.22554878642967713,-0.03678724002676939,-0.014506713270237281,-0.018063836318051862,-0.015772766369501895,-0.014132162969934525,-0.012748862374817566,-0.010466850416136625,-9022.0,-18284.0,-63549.0,-149364.0,-346630.0,-537178.0,-682706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-32.0,-35.0,-21.0,6.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_272,numeric_open,answer_colon,true,112.0,-0.0014646575658453925,-2.3410317712091454e-06,0.09475584825830585,-0.4647091433552881,-0.013385385274887085,-3.2715798619852725,-0.2396055059388793,-0.1761346945864366,0.0,-0.021077116324399015,-6.15391322043024e-05,0.10500705877707034,0.005522476595652859,-0.0017322801393492293,-0.0032903525753330276,-0.0012767720026731488,0.004024486058268412,0.00596343122423329,0.007278570867507411,207.0,6657.0,33786.0,124143.0,374813.0,515963.0,607222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,29.0,84.0,152.0,181.0,131.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_273,numeric_validity,the_answer_is,true,264.0,-0.0010002688325044112,0.005333248114475282,0.15143346292673693,0.09320112453393481,0.004597306251525879,-1.1275187301140637,-0.282511699051355,-0.17441094640819355,0.0,-0.029025773613653882,0.1860584521182318,0.21162071019869003,0.017026161903903547,-0.00440866546970009,-0.0022545242416569244,-0.0005488748358912499,-0.0005949433552653316,-0.0014112921009653001,-0.002332701005060084,-8725.0,-35726.0,-80042.0,-164851.0,-253119.0,-279003.0,-268200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.0,-149.0,-167.0,-193.0,-162.0,-114.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_274,numeric_validity,answer_colon,false,536.0,0.00474440776796059,0.004914752136392053,0.15047822946724715,0.46875516404555606,0.008215457201004028,-4.000454138812938,-0.28706960573329887,-0.18226630505769226,0.0,-0.029551146907003556,0.17292698245728388,0.19092004775131236,0.018334235410451982,-0.009372119629607406,-0.00015170808774667144,0.006740884453197621,0.0035048217460846853,0.0034298025115875874,0.00343729595075562,-3769.0,-21181.0,-48824.0,-50963.0,-30487.0,40584.0,164519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,-86.0,-116.0,-121.0,-77.0,-53.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_275,numeric_validity,answer_colon,false,403.0,0.008734060824585693,0.003929667148040608,0.03136034306102731,0.07343313560327136,-0.011222988367080688,-5.066273036726054,-0.2740535687334855,-0.15606905872534593,0.0,-0.03062926102271657,0.1467288425192237,0.0451183183594675,0.03495373098649829,0.01543371252133055,0.01189017449352578,0.009845545698401709,0.004253713555312066,0.003701284143114325,0.003962116494306389,2121.0,3966.0,17820.0,66929.0,153289.0,257822.0,296434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-12.0,-2.0,17.0,52.0,67.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_276,numeric_validity,the_answer_is,true,249.0,-0.00238077432732986,0.005137537685041025,0.17210041403801313,0.2020407450113395,0.0066907405853271484,-0.7549376382465155,-0.3112680759844846,-0.20971181977472764,0.0,-0.03309089538957899,0.17676183231014875,0.2560421162124472,0.011527279205250845,-0.008059499314969104,-0.004600535840511233,-0.0018597461391466619,-0.003169232046130316,-0.003573191358989203,-0.003305774691891278,-9213.0,-36785.0,-82962.0,-156947.0,-286974.0,-334457.0,-326933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.0,-148.0,-166.0,-175.0,-147.0,-98.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_277,numeric_validity,the_answer_is,false,260.0,0.002339981177463396,0.005053773899635417,0.17189918299672274,0.2628626006332495,0.0141049325466156,-2.87414385165736,-0.25210377651205995,-0.15130959628353846,0.0,-0.030000525030254188,0.1813977056663134,0.19686363215727612,0.013351659300049001,0.004554705435728945,0.004800895886850565,0.003857354508779859,-0.0013548741968620326,-0.0011827473710059877,-0.0022837249967843087,-8341.0,-31083.0,-80368.0,-161563.0,-352819.0,-363379.0,-318020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.0,-154.0,-200.0,-227.0,-227.0,-170.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_278,numeric_validity,answer_colon,false,729.0,0.0023555211692091182,0.005001411386183463,0.1795889692373921,0.4820963349516818,0.018564492464065552,-3.9997522395905944,-0.2438319664909443,-0.1425740809697169,0.0,-0.024375865731258273,0.17644551437115297,0.1988506945013365,0.009551477526332203,-0.0013169423987395013,0.00015771531052152787,0.003500167385500491,0.002044782352268404,0.002483002275318308,0.002771727159743609,-4678.0,-18133.0,-48598.0,-70089.0,-47735.0,31400.0,119934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,-86.0,-115.0,-119.0,-67.0,-38.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_279,numeric_validity,answer_colon,false,456.0,0.014312019771165765,0.00481011192779988,0.09132839968573037,0.05908950537833135,-0.01615491509437561,-4.937972693392091,-0.26523904372789353,-0.17536824669722773,0.0,-0.034810287362106784,0.1819370089797303,0.08871995893778756,0.03500644321672494,0.013458154137734518,0.013390133107300944,0.016846004805353337,0.012395681658770252,0.01095281372476778,0.010071388063977282,-1736.0,-9920.0,-19997.0,1382.0,97390.0,262016.0,530944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,-77.0,-103.0,-134.0,-117.0,-89.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_280,numeric_validity,answer_colon,false,376.0,0.0057154996725418405,0.0040436896216124295,0.022490706508970337,0.04177822814971055,-0.006519228219985962,-4.938886039898822,-0.22283602416647064,-0.09549557222950344,0.0,-0.025923251646919887,0.1522396942600608,0.024886021888993637,0.03907177975186227,0.013376139062986792,0.005660210170519431,0.006619034833098281,0.0017881727857908536,0.0012299015989125084,0.0011467617583412748,1280.0,-567.0,-5346.0,18753.0,30942.0,80626.0,82454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-32.0,-35.0,-23.0,-2.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_281,numeric_validity,the_answer_is,true,163.0,-0.007340158009586775,0.006658163423999212,0.07580112027191194,-0.10123589884523865,0.004769563674926758,1.502472932406914,-0.295343399523885,-0.172117281124752,0.0,-0.03188876371622129,0.24992784641653998,0.059291232056135124,0.023126956801279658,-0.010588467204731944,-0.011722247389319512,-0.0075619502329234145,-0.0025182067929803154,-0.0003291982781840064,0.001607974184185873,-4745.0,-24170.0,-58609.0,-95446.0,-67408.0,-3228.0,104395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,-98.0,-97.0,-68.0,-13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_282,numeric_validity,the_answer_is,true,308.0,-0.0031412215815415506,0.004678428968036314,0.18548292909964886,-0.18866967846180782,0.009757846593856812,1.9991075171837385,-0.29634422767463775,-0.20522883643415746,0.0,-0.032198160456420766,0.16862644458342402,0.2063872038849145,-0.008509729746247974,-0.015257795070762109,-0.006989673565689164,-0.0025601926267354302,-0.0022484060281091067,-0.0029574696965185276,-0.0038651120264543426,-12343.0,-42311.0,-93284.0,-183104.0,-320106.0,-366845.0,-387457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.0,-148.0,-172.0,-199.0,-181.0,-126.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_283,numeric_validity,answer_colon,true,600.0,-0.00014685278823479975,0.004449465564684943,0.004374391937558397,-0.0793302647844838,-0.010618448257446289,-0.49892166964157614,-0.22330187013824698,-0.13857306393584956,0.0,-0.03144276599822593,0.16429738723672926,0.028424233010389044,0.006657502979807717,-0.010863851991631313,-0.005084612291013119,-0.00013904750151425005,0.0009162469984463351,0.003280060575583832,0.007796041985701024,1770.0,2803.0,24485.0,115459.0,332625.0,576771.0,719453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,37.0,85.0,160.0,236.0,258.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,tri_v2_284,numeric_validity,the_answer_is,true,221.0,-0.008908779061497465,0.005592277355899568,0.08029370710529787,0.14609362435031858,0.0016109943389892578,-1.371701010450529,-0.28412579905519486,-0.18272066060426617,0.0,-0.025398411318195535,0.20421323817572556,0.12664732701881626,-0.0050112908766454245,-0.016448148963911613,-0.014631434696102563,-0.009585970723702847,-0.0038639137479499763,-0.0008212992183600776,0.0016714613596007788,-3597.0,-14998.0,-31159.0,-23677.0,25792.0,106652.0,164906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,-38.0,-14.0,44.0,75.0,76.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
