phase,prompt_id,d_n_active_features,base_n_active_features,d_edge_density,base_edge_density,d_logit_gap,base_logit_gap,d_layer_stats_mean,base_layer_stats_mean,d_layer_stats_entropy_bits,base_layer_stats_entropy_bits,d_topk20_score_total,base_topk20_score_total,d_topk20_score_gini,base_topk20_score_gini,d_top10_over_top50,base_top10_over_top50
l1,tri_v2_001,922.0,20597.0,0.0028280067618952354,0.11908809288472048,-3.501614190344036,-1.4986786106289993,-0.253948856612908,8.84677380201,-0.01014260135007472,4.240342110145831,0.21227664669277146,0.017201201466377825,0.1516774614645553,0.24887623002427656,0.16077335957099775,0.40401049127190164
l1,tri_v2_002,618.0,16966.0,0.0006508319669034368,0.12582134322427002,2.813831680734453,1.3732222795260571,-0.19207686233678167,9.282329364611575,-0.014516272436793543,4.29038816982668,0.2529408295522444,0.02978970791446045,-0.027237878122503945,0.38815884256555977,0.00940845993654793,0.5601530851449497
l1,tri_v2_003,749.0,30372.0,-0.005707079676818272,0.12138639125264075,1.125326501957053,1.625186268566785,-0.29146844712574094,8.680626893191098,-0.007349228693609433,4.223114185407576,0.15604845575944637,0.0005500181396200787,0.23903154406602165,0.2231861538330779,0.1941050818696285,0.3832214100073088
l1,tri_v2_004,498.0,25972.0,-0.0036004145317269226,0.1216385535352838,0.7560935265362025,1.7473077058729185,-0.21965454820398556,8.81175881718774,-0.004859374736686739,4.248176932256455,0.1298423295847897,0.0006896829690958839,0.20373301446408715,0.2376618924062061,0.17732055443643202,0.377164283787373
l1,tri_v2_005,698.0,26969.0,-0.007188700628449021,0.12516803493811418,1.125725713039614,1.749517163239359,-0.19354594778357104,8.867959509065965,-0.002892782305014663,4.24954475403376,0.1262875715347036,0.0006902486475155456,0.19931555935205827,0.2218455446255607,0.155840260644157,0.3843980369754323
l1,tri_v2_006,1027.0,19271.0,0.013247181364248878,0.11076559130219578,-4.56577778422723,0.8768983301532292,-0.14943395505969903,9.020652794354211,-0.0089410595082553,4.279114358188541,0.22727883653715253,0.03431750228628516,-0.00030728729729795345,0.33797669149492293,0.044654590273492056,0.5037865301649918
l1,tri_v2_007,711.0,28547.0,-0.006328959841988058,0.12225755979077303,1.001126074757217,2.00030421988917,-0.22028491890130653,8.68367954601184,-0.010414299225248946,4.23509315195449,0.1431550901324954,0.0005852288159076124,0.1985977043955381,0.2336532944540488,0.1748019611785005,0.37704442947283906
l1,tri_v2_008,550.0,17284.0,-0.0026104076930143355,0.12479653930151383,-2.624692311518345,0.6249389304497441,-0.29039189151556677,8.981543624161075,-0.01446307109626499,4.275981714022927,0.21540796828776365,0.00236669529840583,0.11436944799592708,0.27317340351985564,0.10454825546427382,0.444992027727109
l1,tri_v2_009,541.0,29056.0,0.0012403316808993065,0.11719514766884286,-3.8914781115330426,-7.556668322337431,-0.23048287548565227,8.509430066079295,-0.005431740065093393,4.198113924783447,-3.482607084848155e-05,3.559313176992873e-05,-0.00846844316536588,0.14827007877060422,0.01323612550662795,0.322264000797087
l1,tri_v2_010,603.0,28617.0,-0.0015302033433432088,0.11347956003696513,-3.9794145661489457,-6.328180953601232,-0.23607990583561111,8.474717825069014,-0.007306078403646055,4.198517377992679,-0.00011943765394306638,0.00012194548662591842,0.03500480008804102,0.15969260585249767,0.03682333969262447,0.3199528785231075
l1,tri_v2_011,717.0,28846.0,-0.006971954514651921,0.11684057555866849,0.8781724658700045,1.7482743561366592,-0.25183451999394,8.630382028704153,-0.0038123307458395317,4.221383931565535,0.1314810976273293,0.00043423884744697716,0.2390584805482243,0.1969999377652973,0.1977499716047294,0.36461451097712294
l1,tri_v2_012,717.0,22180.0,-0.013793466522971545,0.1239941633138777,5.7509831883562335,1.4999193866012042,-0.28672222013720194,8.541253381424706,-0.02096256289201115,4.221620532136972,0.2397608317551203,0.025845276366453618,0.09439440365924961,0.2767666689187502,0.08571136938781743,0.46867095703108763
l1,tri_v2_013,574.0,24030.0,-0.008914627043329779,0.1168493943732133,1.4996663016512448,1.2520448355511355,-0.23846202245567305,8.641323345817728,-0.012529416333086019,4.208696738968248,0.2512961526081199,0.007527947178459726,0.1079153443466856,0.27590642429250833,0.12626868552051068,0.44381677334591346
l1,tri_v2_014,814.0,18498.0,-0.003400633133802483,0.1181545780849089,2.941510265353685,2.2477768564685228,-0.1895369261353661,8.739971888852848,-0.0074241680301607715,4.240106384714498,0.26533038215711713,0.07209049956873059,-0.007104103353870017,0.35764946827617744,0.035539004963395904,0.5586123239359632
l1,tri_v2_015,760.0,23738.0,-0.014138391011738513,0.12395812723929836,5.808647575504432,1.503215699154103,-0.2794004976400988,8.503622883140956,-0.022267956955566603,4.207029198309068,0.2502508313045837,0.027735307288821787,0.09867454747678606,0.2742881543752732,0.10372872355095208,0.46682166363568367
l1,tri_v2_016,536.0,24479.0,-0.006402809552318478,0.1192311652997486,0.250386288935748,1.7509374734698975,-0.1764546092802668,8.669798602884104,-0.0034568793078992854,4.235180226584783,0.10909279588122445,0.0004186826899967855,0.23677503366725725,0.19236413938869515,0.1845397900318586,0.35929673815222507
l1,tri_v2_017,620.0,24337.0,-0.006367254216369189,0.11854306477238623,0.2522146058132493,1.8753461841980803,-0.17848506720872592,8.632986810206681,-0.0014895020292575722,4.227970560779127,0.09691612006099604,0.0005136034178576665,0.22625687661186644,0.1918402298668812,0.17429880197747205,0.35784601959555573
l1,tri_v2_018,953.0,19985.0,0.005288057095063289,0.11953279695215178,-3.3720715269202435,-1.7494348447866832,-0.22268678775296102,8.819114335751815,-0.008345490818225443,4.243790162759425,0.21483604848617688,0.017409690364729613,0.171553695536009,0.22204436058989355,0.17359891959504242,0.3872266047821293
l1,tri_v2_019,479.0,17788.0,0.0011616495489646522,0.1225543661451061,-1.1209351580195044,-3.626551250029417,-0.29870467977382376,9.16584214076906,-0.015329804487470788,4.2951457874320065,0.1605393512181763,0.0009500234846200328,0.12501125437979851,0.23352445084660126,0.09157203315785961,0.3999122359946306
