run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,11,0,4,11375,0.00096617,0.362474,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,12,0,1,10345,0.00090602,0.339905,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,13,0,5,8061,0.00089046,0.334067,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,14,0,1,8489,0.00089018,0.333963,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,15,0,1,7344,0.00087504,0.328282,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,16,0,1,9026,0.00084863,0.318376,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,17,0,1,11167,0.00083411,0.312928,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,18,0,1,12698,0.00083386,0.312835,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,19,0,1,4855,0.00083225,0.31223,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-03,20,0,7,6051,0.00081332,0.305128,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,1,0,2,16200,0.00092536,1.0,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,2,17,12,6448,0.0005343,0.577394,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,3,1,1,11660,0.00050699,0.547891,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,4,16,12,14143,0.00048688,0.526152,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,5,0,1,16229,0.0004644,0.501861,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,6,0,1,6083,0.00044134,0.476941,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,7,8,2,6513,0.00040012,0.432392,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,8,18,12,15770,0.00038406,0.41504,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,9,0,1,6421,0.00035497,0.383602,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,10,8,9,6513,0.00035269,0.381141,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,11,18,12,10940,0.00033333,0.360216,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,12,18,12,9094,0.00032829,0.354771,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,13,19,12,6538,0.00031532,0.340758,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,14,0,1,10345,0.00031126,0.336368,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,15,0,1,8489,0.00030809,0.332937,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,16,0,1,7344,0.00030382,0.328327,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,17,24,12,4640,0.00029642,0.320327,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,18,0,1,12698,0.0002909,0.314368,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,19,0,1,9026,0.00028825,0.3115,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-04,20,0,4,11375,0.00027956,0.302115,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,1,17,11,6448,0.00146486,1.0,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,2,0,2,16200,0.00129638,0.884988,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,3,18,11,15770,0.00125388,0.855972,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,4,21,11,651,0.00082841,0.565521,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,5,24,11,4640,0.0007891,0.538687,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,6,1,1,11660,0.00071999,0.49151,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,7,0,1,16229,0.00067261,0.459162,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,8,0,1,6083,0.00063657,0.434562,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,9,18,11,10940,0.00060222,0.411112,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,10,16,11,14143,0.00059692,0.407491,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,11,18,11,14909,0.00059242,0.404423,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,12,18,11,2940,0.00054794,0.37406,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,13,0,4,14824,0.0005309,0.362422,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,14,0,1,6421,0.00050457,0.344452,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,15,0,1,8489,0.00044761,0.305565,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,16,8,2,6513,0.00043572,0.297448,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,17,18,11,9094,0.00042883,0.292742,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,18,0,1,10345,0.00042633,0.291038,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,19,0,1,7344,0.00042172,0.28789,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-05,20,0,11,16200,0.00040994,0.279848,pos
